"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
225470;-6,06;10,62;3,49;12,71653
225480;-5,69;11,45;3,94;13,38518
225490;-5,84;11,76;4,10;13,75372
225500;-6,29;11,53;4,17;13,78095
225510;-6,58;10,77;4,02;13,24885
225520;-6,73;9,71;3,72;12,38327
225530;-6,88;9,10;3,34;11,88504
225540;-6,87;8,57;3,03;11,3976
225550;-6,57;8,04;2,65;10,71927
225560;-6,13;7,89;2,50;10,29591
225570;-5,46;7,59;2,57;9,6894
225580;-4,93;7,36;2,49;9,20027
225590;-4,56;7,13;2,56;8,84154
225600;-4,26;6,68;2,40;8,27528
225610;-4,11;5,99;1,80;7,48453
225620;-4,03;5,46;1,49;6,95117
225630;-3,88;5,08;1,86;6,66119
225640;-3,51;5,01;1,78;6,36916
225650;-3,36;5,23;1,41;6,37804
225660;-3,14;5,69;1,49;6,66649
225670;-2,85;6,14;1,71;6,98373
225680;-2,92;6,90;1,87;7,72421
225690;-2,85;7,05;1,94;7,85132
225700;-2,85;7,05;1,87;7,83311
225710;-2,92;6,98;1,94;7,8105
225720;-2,92;6,68;1,86;7,52118
225730;-2,92;6,45;1,71;7,2822
225740;-3,00;6,30;1,71;7,17854
225750;-3,07;6,30;1,64;7,1927
225760;-3,14;6,37;1,57;7,27486
225770;-3,37;6,75;1,79;7,75529
225780;-3,15;6,83;2,09;7,8018
225790;-2,85;6,98;2,09;7,82186
225800;-2,70;7,21;1,94;7,93658
225810;-2,78;7,21;1,72;7,91045
225820;-3,22;7,59;1,42;8,36348
225830;-4,19;7,81;1,51;8,99388
225840;-5,08;7,28;2,11;9,12746
225850;-5,75;6,52;2,94;9,17718
225860;-6,49;6,22;3,32;9,58247
225870;-7,09;6,60;3,25;10,2152
225880;-7,91;7,36;3,34;11,30556
225890;-8,21;7,74;3,79;11,89981
225900;-7,84;8,50;4,02;12,2376
225910;-7,25;9,48;3,49;12,43613
225920;-6,88;10,54;3,12;12,97217
225930;-6,96;11,23;3,50;13,66411
225940;-6,81;11,76;3,66;14,07039
225950;-6,67;12,52;4,03;14,74265
225960;-6,37;12,06;4,25;14,28572
225970;-5,91;9,86;4,01;12,17585
225980;-5,83;9,03;3,33;11,25055
225990;-5,84;10,39;3,41;12,39904
226000;-5,54;11,30;3,87;13,16879
226010;-5,84;11,68;4,10;13,68851
226020;-6,29;11,38;4,10;13,63099
226030;-6,66;10,39;3,94;12,95625
226040;-6,88;9,33;3,56;12,12561
226050;-7,02;8,95;3,19;11,8161
226060;-6,95;8,57;2,89;11,40438
226070;-6,57;8,12;2,50;10,74044
226080;-6,28;8,04;2,35;10,46695
226090;-5,68;7,81;2,50;9,97649
226100;-5,01;7,36;2,56;9,2609
226110;-4,64;7,21;2,56;8,94188
226120;-4,41;6,90;2,40;8,53633
226130;-4,19;6,45;2,10;7,96794
226140;-3,96;5,99;1,57;7,35223
226150;-3,89;5,76;1,49;7,10991
226160;-3,74;5,23;1,79;6,67265
226170;-3,36;5,16;1,56;6,35154
226180;-3,29;5,46;1,19;6,48466
226190;-3,07;5,92;1,41;6,81195
226200;-2,77;6,30;1,71;7,08791
226210;-2,77;6,83;1,86;7,60025
226220;-2,85;6,98;1,87;7,76474
226230;-2,92;7,05;1,94;7,87909
226240;-3,15;6,98;1,94;7,89755
226250;-3,15;6,83;1,79;7,72676
226260;-3,07;6,75;1,64;7,59605
226270;-3,15;6,83;1,72;7,70971
226280;-3,15;6,68;1,87;7,61108
226290;-3,15;6,52;1,87;7,47789
226300;-3,15;6,68;1,87;7,61108
226310;-3,15;6,83;1,79;7,72676
226320;-3,15;6,90;1,64;7,76108
226330;-3,52;7,21;1,50;8,15848
226340;-4,19;7,51;1,58;8,74304
226350;-4,64;7,13;1,88;8,70988
226360;-5,01;6,52;2,33;8,54567
226370;-5,45;6,22;2,86;8,74948
226380;-5,97;6,30;3,01;9,18466
226390;-6,64;6,90;3,02;10,04524
226400;-7,32;7,51;3,26;10,97773
226410;-7,62;7,89;3,79;11,59892
226420;-7,32;8,95;3,79;12,16888
226430;-7,18;10,01;3,50;12,80536
226440;-7,48;10,54;3,80;13,473
226450;-7,40;11,08;3,66;13,81426
226460;-7,18;11,99;4,03;14,54384
226470;-6,89;12,21;4,18;14,63083
226480;-6,59;11,38;4,33;13,83979
226490;-5,76;9,03;3,78;11,35343
226500;-5,83;8,95;3,10;11,12533
226510;-5,76;10,32;3,49;12,32082
226520;-5,62;11,23;3,94;13,1578
226530;-5,84;11,45;4,17;13,51722
226540;-6,29;11,23;4,25;13,54987
226550;-6,66;10,47;4,17;13,08754
226560;-6,80;9,48;3,71;12,2462
226570;-6,80;8,95;3,19;11,68379
226580;-6,73;8,65;2,81;11,3087
226590;-6,43;8,19;2,50;10,70792
226600;-6,13;7,96;2,20;10,28618
226610;-5,75;7,89;2,42;10,05934
226620;-5,23;7,59;2,64;9,5849
226630;-4,86;7,36;2,71;9,22438
226640;-4,64;7,13;2,63;8,90181
226650;-4,34;6,83;2,40;8,43644
226660;-4,19;6,45;1,95;7,92976
226670;-3,96;6,07;1,49;7,39933
226680;-4,04;5,84;1,64;7,28603
226690;-3,81;5,46;1,86;6,9147
226700;-3,36;5,39;1,64;6,55652
226710;-3,14;5,69;1,26;6,62001
226720;-2,92;6,07;1,49;6,89603
226730;-2,77;6,52;1,86;7,32844
226740;-2,85;6,83;2,02;7,66587
226750;-3,07;7,05;2,02;7,95453
226760;-3,22;7,05;2,02;8,01312
226770;-3,15;6,90;1,94;7,83008
226780;-3,07;6,75;1,79;7,62986
226790;-3,00;6,75;1,64;7,56643
226800;-2,92;6,68;1,64;7,46882
226810;-3,00;6,45;1,79;7,33078
226820;-3,29;6,45;1,79;7,45757
226830;-3,29;6,68;1,72;7,63921
226840;-3,15;6,68;1,57;7,54335
226850;-3,15;6,68;1,42;7,51362
226860;-3,52;6,98;1,27;7,91794
226870;-4,04;6,98;1,58;8,21571
226880;-4,41;6,52;2,03;8,13033
226890;-4,78;6,37;2,55;8,36423
226900;-5,38;6,60;3,01;9,02812
226910;-6,20;7,28;3,17;10,07492
226920;-7,09;7,96;3,48;11,21938
226930;-7,77;8,42;4,09;12,16286
226940;-7,70;9,41;4,32;12,89794
226950;-7,70;10,54;4,03;13,66321
226960;-8,07;11,23;4,19;14,44796
226970;-7,93;11,68;4,04;14,68321
226980;-7,71;12,36;4,34;15,20182
226990;-7,18;11,83;4,41;14,52742
227000;-6,28;9,63;3,86;12,13118
227010;-5,76;8,65;2,95;10,79917
227020;-5,69;10,09;3,04;11,97262
227030;-5,32;11,23;3,71;12,96649
227040;-5,40;11,83;4,09;13,63492
227050;-5,70;11,76;4,32;13,75945
227060;-6,14;11,08;4,24;13,35494
227070;-6,58;10,01;3,94;12,61353
227080;-6,80;9,33;3,56;12,0838
227090;-6,80;8,65;3,18;11,45141
227100;-6,57;8,12;2,58;10,75817
227110;-6,35;7,96;2,28;10,43707
227120;-5,75;7,66;2,49;9,90048
227130;-5,23;7,28;2,56;9,32495
227140;-4,93;7,13;2,56;9,0399
227150;-4,56;6,83;2,40;8,55378
227160;-4,26;6,45;2,02;7,98852
227170;-4,11;6,14;1,50;7,54235
227180;-3,96;5,92;1,42;7,25943
227190;-3,81;5,46;1,71;6,87578
227200;-3,36;5,39;1,64;6,55652
227210;-3,22;5,69;1,34;6,67025
227220;-2,85;6,07;1,41;6,84897
227230;-2,55;6,45;1,71;7,1404
227240;-2,63;6,90;1,94;7,6344
227250;-2,85;7,13;2,09;7,95838
227260;-2,92;7,05;2,09;7,9174
227270;-3,15;7,05;2,17;8,02291
227280;-3,07;6,75;2,02;7,68579
227290;-2,92;6,60;1,71;7,41773
227300;-2,92;6,52;1,56;7,31667
227310;-3,15;6,60;1,64;7,49204
227320;-3,29;6,60;1,79;7,59003
227330;-3,22;6,52;2,02;7,54823
227340;-3,22;6,68;2,02;7,68065
227350;-3,22;6,75;1,79;7,69151
227360;-3,45;7,05;1,50;7,99174
227370;-3,97;7,36;1,35;8,46718
227380;-4,56;7,28;1,43;8,71165
227390;-5,01;6,68;1,73;8,52147
227400;-5,45;6,45;1,88;8,65024
227410;-5,90;6,37;2,26;8,97111
227420;-6,27;6,68;2,57;9,5116
227430;-6,94;7,13;2,88;10,35828
227440;-7,39;7,43;3,56;11,06795
227450;-7,17;8,50;4,09;11,8438
227460;-6,88;9,86;3,87;12,62933
227470;-7,18;11,00;4,03;13,73882
227480;-7,33;11,61;4,03;14,30762
227490;-7,26;12,59;4,19;15,12707
227500;-6,96;12,90;4,41;15,30532
227510;-6,66;11,53;4,33;14,00117
227520;-6,21;9,10;3,78;11,6475
227530;-6,36;9,41;3,34;11,8319
227540;-5,91;10,47;3,56;12,53972
227550;-5,62;11,23;3,87;13,13553
227560;-5,77;11,45;4,02;13,43936
227570;-6,21;11,23;4,10;13,469
227580;-6,51;10,39;3,87;12,85726
227590;-6,73;9,56;3,42;12,17639
227600;-6,88;9,10;2,96;11,78522
227610;-6,73;8,72;2,73;11,34862
227620;-6,35;8,27;2,43;10,70491
227630;-5,98;7,96;2,27;10,21412
227640;-5,46;7,66;2,42;9,71086
227650;-4,93;7,36;2,49;9,20027
227660;-4,56;7,05;2,41;8,7376
227670;-4,26;6,83;2,18;8,3363
227680;-4,04;6,37;1,95;7,7896
227690;-3,96;5,99;1,57;7,35223
227700;-3,89;5,76;1,49;7,10991
227710;-3,74;5,31;1,71;6,71317
227720;-3,36;5,16;1,71;6,38999
227730;-3,22;5,46;1,26;6,46095
227740;-3,14;5,99;1,19;6,86961
227750;-2,85;6,30;1,56;7,08262
227760;-2,85;6,75;1,86;7,56053
227770;-2,92;6,98;1,87;7,79244
227780;-3,15;7,13;1,87;8,01459
227790;-3,22;7,21;1,95;8,12962
227800;-3,15;7,21;1,95;8,10058
227810;-3,22;7,21;1,80;8,09527
227820;-3,22;7,05;1,87;7,97688
227830;-3,15;6,83;1,94;7,76292
227840;-3,22;6,68;1,94;7,66129
227850;-3,22;6,68;1,87;7,64262
227860;-3,07;6,75;1,72;7,6126
227870;-3,22;6,83;1,49;7,69362
227880;-3,59;7,05;1,42;8,04323
227890;-4,04;7,13;1,43;8,31834
227900;-4,49;6,75;1,65;8,27186
227910;-4,93;6,60;1,96;8,46685
227920;-5,38;6,60;2,33;8,82647
227930;-5,97;6,75;2,72;9,41403
227940;-6,79;7,13;2,95;10,28
227950;-7,39;7,36;3,33;10,94585
227960;-7,32;7,59;3,71;11,17097
227970;-6,72;8,57;3,48;11,43702
227980;-6,58;9,71;3,19;12,15472
227990;-7,18;10,54;3,65;13,26787
228000;-7,11;11,45;3,73;13,9868
228010;-6,96;12,59;4,19;14,98575
228020;-6,89;12,97;4,49;15,35777
228030;-6,74;11,83;4,70;14,40606
228040;-6,28;9,25;4,01;11,88072
228050;-6,36;9,79;3,41;12,15756
228060;-6,14;10,77;3,72;12,94268
228070;-5,92;11,53;4,10;13,5915
228080;-6,07;11,61;4,17;13,74413
228090;-6,36;11,38;4,10;13,66529
228100;-6,58;10,47;3,79;12,93481
228110;-6,80;9,56;3,42;12,21799
228120;-6,95;9,10;3,19;11,88775
228130;-6,95;8,57;2,96;11,42359
228140;-6,65;8,19;2,58;10,86161
228150;-6,05;7,96;2,42;10,29212
228160;-5,31;7,59;2,64;9,62632
228170;-4,79;7,28;2,56;9,08142
228180;-4,41;7,05;2,40;8,66048
228190;-4,11;6,45;2,10;7,92931
228200;-3,96;5,92;1,57;7,29021
228210;-3,88;5,31;1,34;6,71296
228220;-3,73;4,78;1,63;6,27943
228230;-3,29;4,78;1,41;5,96722
228240;-2,99;5,31;0,96;6,16826
228250;-2,70;5,84;1,18;6,53996
228260;-2,48;6,45;1,56;7,07954
228270;-2,63;7,05;1,79;7,73685
228280;-2,55;7,21;1,79;7,85132
228290;-2,48;7,21;1,86;7,84483
228300;-2,40;7,05;1,86;7,68141
228310;-2,40;6,98;1,64;7,55954
228320;-2,33;7,05;1,49;7,5756
228330;-2,40;6,98;1,41;7,51422
228340;-2,63;6,90;1,56;7,54813
228350;-2,85;6,68;1,86;7,49274
228360;-2,85;6,60;1,94;7,44404
228370;-2,85;6,68;1,94;7,51175
228380;-2,85;6,90;1,79;7,67844
228390;-2,92;7,21;1,57;7,93315
228400;-3,37;7,59;1,43;8,42219
228410;-4,27;7,96;1,51;9,16039
228420;-5,16;7,81;2,12;9,59873
228430;-5,83;7,05;2,94;9,60962
228440;-6,42;6,60;3,39;9,81102
228450;-7,09;6,83;3,32;10,38804
228460;-7,69;7,21;3,33;11,05073
228470;-7,91;7,28;3,56;11,32529
228480;-7,54;7,96;3,71;11,57826
228490;-6,88;9,10;3,41;11,90633
228500;-6,73;10,24;3,57;12,7633
228510;-7,03;10,70;4,02;13,41628
228520;-6,89;11,53;4,25;14,0869
228530;-6,52;12,21;4,48;14,54815
228540;-6,44;11,91;4,55;14,28351
228550;-6,14;10,01;4,24;12,48401
228560;-5,76;8,19;3,32;10,54875
228570;-5,83;9,10;3,03;11,2275
228580;-5,69;10,32;3,64;12,32903
228590;-5,54;11,15;4,17;13,13033
228600;-5,77;11,38;4,39;13,49174
228610;-6,14;11,08;4,32;13,37897
228620;-6,36;10,39;4,02;12,82836
228630;-6,51;9,48;3,56;12,03791
228640;-6,65;9,03;3,19;11,65626
228650;-6,58;8,57;2,88;11,18086
228660;-6,35;8,12;2,43;10,58749
228670;-6,05;8,04;2,35;10,33455
228680;-5,46;7,89;2,57;9,92945
228690;-4,94;7,59;2,64;9,42551
228700;-4,64;7,43;2,63;9,14789
228710;-4,41;7,13;2,48;8,74346
228720;-4,19;6,75;2,18;8,23687
228730;-4,11;6,22;1,57;7,61971
228740;-4,18;5,84;1,42;7,3231
228750;-4,03;5,39;1,87;6,98151
228760;-3,74;5,23;2,01;6,73637
228770;-3,59;5,46;1,71;6,75426
228780;-3,22;5,84;1,56;6,84773
228790;-3,00;6,30;1,71;7,17854
228800;-3,00;6,52;2,09;7,47593
228810;-2,92;6,75;2,17;7,66858
228820;-3,07;7,05;2,17;7,9939
228830;-3,15;6,98;2,24;7,97666
228840;-2,92;6,98;2,17;7,86943
228850;-2,85;6,98;2,02;7,80215
228860;-2,85;6,98;2,02;7,80215
228870;-2,85;6,83;2,17;7,70666
228880;-3,07;6,68;2,24;7,68142
228890;-3,37;6,52;2,32;7,69815
228900;-3,37;6,60;2,17;7,7192
228910;-3,37;6,60;2,09;7,69849
228920;-3,44;6,52;2,09;7,6671
228930;-3,67;6,83;1,80;7,95427
228940;-4,19;7,05;1,65;8,36893
228950;-4,34;6,98;1,95;8,4449
228960;-4,71;6,68;2,70;8,60421
228970;-5,60;6,45;3,31;9,15824
228980;-6,64;6,60;3,54;10,01114
228990;-7,17;7,13;3,40;10,66526
229000;-7,39;7,36;3,56;11,01639
229010;-7,24;8,12;4,01;11,59384
229020;-7,03;9,25;3,94;12,26828
229030;-7,55;10,16;4,18;13,33135
229040;-7,25;10,92;4,03;13,71704
229050;-7,11;11,99;4,26;14,5716
229060;-6,89;12,29;4,48;14,78329
229070;-6,81;12,06;4,63;14,60538
229080;-6,13;9,94;4,16;12,39726
229090;-5,68;8,42;3,25;10,66448
229100;-5,91;9,63;3,33;11,78269
229110;-5,84;10,62;4,09;12,78972
229120;-5,77;11,23;4,39;13,36305
229130;-5,84;11,30;4,32;13,43537
229140;-6,29;11,00;4,25;13,3613
229150;-6,58;10,24;4,02;12,8186
229160;-6,73;9,33;3,71;12,08668
229170;-6,87;8,88;3,49;11,75456
229180;-6,80;8,27;3,18;11,16681
229190;-6,65;7,81;2,73;10,6145
229200;-6,42;7,74;2,65;10,39959
229210;-5,75;7,43;2,72;9,78438
229220;-5,16;7,13;2,79;9,22916
229230;-4,78;6,98;2,71;8,88266
229240;-4,41;6,60;2,40;8,29215
229250;-4,11;6,07;1,87;7,5637
229260;-4,11;5,61;1,57;7,13058
229270;-4,11;5,16;1,64;6,79402
229280;-3,96;4,78;1,71;6,43516
229290;-3,66;4,93;1,63;6,35377
229300;-3,21;5,23;1,63;6,35433
229310;-2,99;5,61;1,86;6,62691
229320;-2,85;5,99;2,08;6,95278
229330;-2,92;6,52;2,16;7,46768
229340;-3,15;6,83;2,32;7,86512
229350;-3,07;6,83;2,32;7,83552
229360;-3,00;6,90;2,24;7,8516
229370;-3,00;6,98;2,02;7,85804
229380;-2,92;7,13;1,87;7,92945
229390;-2,85;7,13;1,79;7,88484
229400;-2,85;6,98;1,72;7,73007
229410;-2,92;6,68;1,64;7,46882
229420;-3,15;6,52;1,72;7,44189
229430;-3,22;6,45;1,72;7,40746
229440;-3,07;6,37;1,64;7,25954
229450;-3,97;6,98;1,73;8,2091
229460;-5,01;7,36;2,41;9,22054
229470;-5,45;6,83;3,24;9,31637
229480;-5,75;6,30;3,83;9,34698
229490;-6,27;6,14;4,06;9,67207
229500;-6,79;6,90;3,70;10,36517
229510;-7,61;7,13;3,63;11,04338
229520;-7,69;7,43;4,08;11,44562
229530;-7,54;8,34;3,94;11,91688
229540;-7,77;9,03;3,79;12,4982
229550;-7,25;9,71;3,20;12,53137
229560;-6,96;10,77;3,20;13,21516
229570;-6,81;11,53;3,35;13,80458
229580;-6,74;11,99;4,03;14,32794
229590;-6,59;11,76;4,48;14,20114
229600;-5,91;9,94;4,31;12,33937
229610;-5,68;8,27;3,62;10,66601
229620;-6,06;9,25;3,41;11,57287
229630;-5,99;10,39;3,86;12,60033
229640;-5,77;11,15;4,24;13,25049
229650;-5,92;11,30;4,24;13,44417
229660;-6,44;10,85;4,32;13,33199
229670;-6,81;10,16;4,32;12,97184
229680;-6,88;9,41;4,09;12,34796
229690;-6,88;8,95;3,34;11,76952
229700;-6,73;8,65;2,88;11,32756
229710;-6,50;8,19;2,50;10,75309
229720;-6,28;7,96;2,28;10,392
229730;-5,83;7,89;2,42;10,10267
229740;-5,23;7,59;2,56;9,56453
229750;-4,86;7,28;2,48;9,09987
229760;-4,49;6,90;2,55;8,61856
229770;-4,26;6,52;2,55;8,19775
229780;-4,18;5,92;2,24;7,58554
229790;-4,11;5,23;1,87;6,90869
229800;-4,03;4,78;1,86;6,52239
229810;-3,73;4,78;1,86;6,34167
229820;-3,21;5,01;1,63;6,16795
229830;-2,92;5,46;1,48;6,36637
229840;-2,85;5,99;1,71;6,84973
229850;-2,85;6,45;1,86;7,28946
229860;-2,77;6,83;1,94;7,61899
229870;-2,85;7,13;1,94;7,92028
229880;-2,85;7,21;1,94;7,98876
229890;-2,85;7,21;1,87;7,97086
229900;-2,92;7,13;1,72;7,89545
229910;-3,00;6,98;1,64;7,77024
229920;-3,07;6,68;1,72;7,54528
229930;-3,22;6,30;1,71;7,27464
229940;-3,22;6,14;1,64;7,12652
229950;-3,07;6,22;1,34;7,06381
229960;-3,07;6,52;1,34;7,3328
229970;-3,15;6,75;1,12;7,53148
229980;-3,97;7,28;1,28;8,38987
229990;-4,79;7,36;2,11;9,02605
230000;-5,38;6,90;3,16;9,30359
230010;-5,97;6,52;3,91;9,67047
230020;-6,64;6,75;3,99;10,27898
230030;-7,24;7,05;3,93;10,84322
230040;-7,54;7,21;4,01;11,17085
230050;-7,47;7,89;3,86;11,52621
230060;-7,92;8,95;3,72;12,51487
230070;-7,62;9,56;3,42;12,69354
230080;-7,25;10,39;3,13;13,05185
230090;-7,03;11,38;3,50;13,82751
230100;-7,04;12,21;3,96;14,63967
230110;-6,89;12,44;4,56;14,93291
230120;-6,36;11,15;4,70;13,66931
230130;-5,83;8,65;4,00;11,17062
230140;-5,98;9,10;3,26;11,36775
230150;-5,91;10,39;3,49;12,45485
230160;-5,77;11,38;3,94;13,352
230170;-5,77;11,61;4,25;13,6382
230180;-6,29;11,30;4,47;13,68523
230190;-6,88;10,54;4,62;13,41185
230200;-7,03;9,63;4,24;12,65519
230210;-6,88;9,03;3,41;11,84804
230220;-6,73;8,80;2,96;11,4634
230230;-6,57;8,19;2,66;10,83399
230240;-6,57;7,89;2,43;10,55083
230250;-6,35;7,74;2,58;10,33449
230260;-5,75;7,36;2,79;9,74711
230270;-5,16;7,05;2,86;9,19363
230280;-4,86;6,83;2,86;8,85107
230290;-4,41;6,45;2,70;8,2645
230300;-4,18;5,84;2,09;7,48307
230310;-4,11;5,31;1,64;6,91019
230320;-3,96;4,85;1,94;6,55494
230330;-3,51;4,85;1,86;6,27191
230340;-3,21;5,23;1,41;6,3003
230350;-3,07;5,92;1,34;6,79681
230360;-2,77;6,14;1,49;6,90162
230370;-2,55;6,60;1,41;7,21389
230380;-2,78;7,05;1,49;7,72545
230390;-2,92;6,90;1,64;7,67297
230400;-3,00;6,98;1,72;7,78644
230410;-3,00;6,98;1,72;7,78644
230420;-2,85;6,75;1,49;7,47711
230430;-2,92;6,68;1,49;7,43733
230440;-3,15;6,75;1,57;7,6111
230450;-3,37;6,68;1,72;7,67185
230460;-3,15;6,52;1,79;7,45953
230470;-2,77;6,60;1,64;7,34298
230480;-2,40;6,60;1,41;7,16238
230490;-2,55;7,05;1,19;7,59524
230500;-2,93;7,28;1,19;7,93781
230510;-3,97;7,81;1,06;8,82639
230520;-5,16;7,89;1,59;9,55878
230530;-5,68;7,28;2,34;9,52615
230540;-5,38;6,75;2,94;9,11664
230550;-5,67;6,37;3,83;9,35326
230560;-7,46;6,83;4,90;11,23813
230570;-8,80;6,68;4,76;12,02831
230580;-9,10;6,83;3,94;12,03784
230590;-8,51;7,43;3,57;11,84528
230600;-7,84;8,80;3,12;12,19147
230610;-7,18;10,24;2,67;12,78738
230620;-6,59;11,76;2,83;13,77069
230630;-6,15;12,82;3,66;14,67902
230640;-6,00;13,05;4,26;14,97739
230650;-6,00;12,44;4,63;14,56375
230660;-5,69;9,79;4,31;12,10944
230670;-5,98;9,18;3,33;11,45109
230680;-5,99;10,09;3,26;12,17541
230690;-5,99;11,15;3,64;13,17123
230700;-5,99;11,61;3,80;13,60222
230710;-6,29;11,45;3,95;13,65036
230720;-6,66;10,62;4,17;13,20944
230730;-6,95;9,63;4,24;12,61392
230740;-6,95;8,95;3,79;11,94782
230750;-6,80;8,50;3,18;11,33679
230760;-6,80;8,27;2,88;11,08506
230770;-6,65;8,04;2,65;10,76481
230780;-6,28;7,96;2,28;10,392
230790;-5,75;7,81;2,20;9,94856
230800;-5,16;7,51;2,34;9,40512
230810;-4,71;7,36;2,26;9,02342
230820;-4,41;7,05;2,48;8,6816
230830;-4,26;6,37;2,55;8,07648
230840;-4,11;5,84;1,94;7,40114
230850;-4,18;5,31;1,64;6,95467
230860;-4,11;5,08;1,86;6,79448
230870;-3,66;4,93;1,63;6,35377
230880;-3,36;5,39;1,11;6,44568
230890;-3,29;5,84;1,04;6,78334
230900;-3,07;6,07;1,19;6,90278
230910;-3,15;6,60;1,49;7,46062
230920;-3,15;6,90;1,72;7,7773
230930;-2,85;6,75;1,71;7,52495
230940;-2,85;6,75;1,79;7,54239
230950;-2,70;6,68;1,56;7,36771
230960;-2,62;6,60;1,34;7,22632
230970;-2,70;6,75;1,34;7,3928
230980;-2,70;6,75;1,56;7,43664
230990;-2,70;6,75;1,71;7,4696
231000;-2,85;6,68;1,71;7,45684
231010;-2,77;6,68;1,64;7,41136
231020;-2,85;6,90;1,42;7,59996
231030;-3,22;6,98;1,34;7,80216
231040;-3,82;7,36;1,20;8,3754
231050;-5,16;7,59;1,67;9,32252
231060;-5,68;6,98;2,49;9,33359
231070;-6,20;6,30;2,86;9,28449
231080;-6,72;6,52;2,94;9,81503
231090;-7,39;6,90;3,25;10,62053
231100;-7,61;7,05;3,78;11,0449
231110;-8,28;7,81;4,02;12,07426
231120;-8,58;8,04;4,02;12,42827
231130;-7,91;8,27;3,72;12,03297
231140;-7,47;9,41;3,42;12,49
231150;-7,03;10,70;3,28;13,21096
231160;-6,66;11,99;3,36;14,11731
231170;-6,29;12,74;3,81;14,71366
231180;-6,15;12,67;4,18;14,68713
231190;-5,84;10,54;4,24;12,77617
231200;-5,91;9,03;3,40;11,31196
231210;-6,21;10,01;3,26;12,22534
231220;-6,21;10,92;3,79;13,1266
231230;-6,36;11,53;4,02;13,77077
231240;-6,44;11,38;4,10;13,70068
231250;-6,88;10,47;4,32;13,25135
231260;-7,25;9,41;4,02;12,53623
231270;-7,25;8,88;3,41;11,95515
231280;-6,95;8,65;2,74;11,42502
231290;-6,65;8,42;2,36;10,98458
231300;-6,43;8,12;2,13;10,5678
231310;-6,20;7,96;2,05;10,29972
231320;-5,83;7,81;2,35;10,02616
231330;-5,31;7,51;2,71;9,58724
231340;-4,86;7,36;2,78;9,24639
231350;-4,49;7,05;2,78;8,80942
231360;-4,26;6,45;2,55;8,13709
231370;-4,11;5,84;1,79;7,36316
231380;-4,18;5,31;1,64;6,95467
231390;-3,96;4,93;1,86;6,58985
231400;-3,51;4,93;1,71;6,28882
231410;-3,22;5,31;1,11;6,30471
231420;-2,99;5,84;1,04;6,64341
231430;-2,85;6,14;1,26;6,88757
231440;-2,70;6,60;1,34;7,25408
231450;-2,70;6,83;1,41;7,47554
231460;-2,77;6,90;1,42;7,57198
231470;-2,77;6,75;1,56;7,46439
231480;-2,77;6,52;1,64;7,27453
231490;-2,77;6,52;1,49;7,24225
231500;-2,85;6,68;1,64;7,43996
231510;-2,85;6,68;1,79;7,47444
231520;-2,92;6,68;1,86;7,52118
231530;-3,15;6,83;1,79;7,72676
231540;-3,30;6,90;1,64;7,82287
231550;-3,44;6,98;1,35;7,89717
231560;-3,89;7,28;1,43;8,37923
231570;-4,64;7,36;1,58;8,83895
231580;-5,38;6,75;2,19;8,90354
231590;-6,20;6,22;2,94;9,25734
231600;-6,94;6,22;3,39;9,91753
231610;-7,39;6,83;3,48;10,64165
231620;-7,76;7,51;3,71;11,41886
231630;-7,84;7,96;4,09;11,89803
231640;-7,39;8,65;4,16;12,11497
231650;-7,85;9,79;4,03;13,17159
231660;-7,62;10,01;3,88;13,16761
231670;-7,18;10,77;3,58;13,42908
231680;-6,96;11,45;3,73;13,91141
231690;-6,74;11,83;3,96;14,17918
231700;-6,36;11,53;4,02;13,77077
231710;-5,46;9,56;3,55;11,56769
231720;-5,46;8,65;3,02;10,66399
231730;-5,91;9,94;3,34;12,03354
231740;-5,77;10,85;4,02;12,92379
231750;-5,92;11,38;4,47;13,58093
231760;-6,36;11,15;4,47;13,59365
231770;-6,81;10,47;4,25;13,18822
231780;-7,10;9,63;3,79;12,55411
231790;-7,10;9,18;3,27;12,0537
231800;-7,02;8,88;2,81;11,66195
231810;-6,80;8,42;2,66;11,14335
231820;-6,50;8,12;2,58;10,7125
231830;-5,98;7,89;2,80;10,28495
231840;-5,31;7,43;2,79;9,54891
231850;-4,79;7,21;2,78;9,08668
231860;-4,41;6,83;2,70;8,56458
231870;-4,11;6,30;2,25;7,84677
231880;-4,04;6,07;1,65;7,47101
231890;-4,04;5,69;1,57;7,14853
231900;-3,88;5,23;1,86;6,77794
231910;-3,51;5,31;1,71;6,59119
231920;-3,37;5,76;1,41;6,82207
231930;-3,22;6,14;1,56;7,10988
231940;-3,00;6,60;1,87;7,48338
231950;-3,00;6,98;2,17;7,89787
231960;-2,92;7,21;2,17;8,07319
231970;-2,92;7,21;2,02;8,03421
231980;-3,00;6,98;1,94;7,83912
231990;-2,92;6,75;1,72;7,55388
232000;-3,00;6,45;1,56;7,27914
232010;-3,07;6,30;1,56;7,17599
232020;-3,22;6,22;1,56;7,17565
232030;-3,29;6,22;1,57;7,20982
232040;-3,37;6,22;1,79;7,29583
232050;-3,14;6,07;2,09;7,14525
232060;-2,92;6,22;2,01;7,15994
232070;-2,55;6,45;1,64;7,12281
232080;-2,55;6,83;1,34;7,40892
232090;-3,45;7,51;1,43;8,38395
232100;-4,86;7,59;1,81;9,18886
232110;-5,83;7,28;2,34;9,61595
