"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
212300;-3,66;4,78;1,48;6,19813
212310;-3,14;5,01;1,48;6,09129
212320;-3,29;5,61;1,49;6,67368
212330;-4,19;7,66;1,51;8,86152
212340;-3,38;8,27;1,21;9,01124
212350;-2,70;7,66;0,60;8,14562
212360;-2,40;7,36;0,07;7,74009
212370;-2,03;6,75;-0,24;7,05372
212380;-1,51;5,84;-0,55;6,05592
212390;-0,98;4,93;-1,24;5,17638
212400;-0,53;4,55;-1,84;4,93849
212410;-0,61;4,93;-2,06;5,37882
212420;-0,69;5,84;-1,46;6,05809
212430;-0,61;6,22;-0,48;6,26871
212440;-0,47;6,60;-0,03;6,6155
212450;-0,77;6,98;0,05;7,0201
212460;-1,51;6,98;0,13;7,14071
212470;-2,18;6,98;0,36;7,31926
212480;-2,70;7,13;0,14;7,62578
212490;-3,52;7,81;0,60;8,59134
212500;-4,05;8,42;1,51;9,46264
212510;-4,49;8,50;2,12;9,83953
212520;-5,31;8,57;2,65;10,42475
212530;-7,03;9,79;4,09;12,72311
212540;-8,14;9,71;4,93;13,59554
212550;-8,21;8,72;4,92;12,95185
212560;-8,28;7,59;4,91;12,25879
212570;-8,96;8,04;5,52;13,24066
212580;-8,36;8,65;4,85;12,96832
212590;-7,33;10,01;3,72;12,95257
212600;-6,44;11,61;2,90;13,58608
212610;-5,93;13,43;2,31;14,85595
212620;-5,56;14,72;2,54;15,93451
212630;-4,81;13,81;2,68;14,86223
212640;-4,58;11,68;2,44;12,78092
212650;-4,65;11,53;2,66;12,71467
212660;-4,73;12,44;3,12;13,66925
212670;-4,96;13,27;3,28;14,54292
212680;-5,18;13,27;3,05;14,5721
212690;-5,33;12,74;2,98;14,1284
212700;-5,32;11,83;2,97;13,31049
212710;-5,32;10,24;2,73;11,85738
212720;-5,76;9,25;2,36;11,15169
212730;-5,91;8,57;1,90;10,58114
212740;-5,61;7,81;1,67;9,7595
212750;-5,16;7,36;1,74;9,151
212760;-4,78;6,83;1,73;8,5128
212770;-4,71;6,45;1,88;8,2004
212780;-4,63;5,54;2,17;7,53653
212790;-4,78;5,23;2,40;7,47931
212800;-4,33;5,16;1,72;6,94971
212810;-3,59;4,78;0,88;6,03831
212820;-3,14;4,85;0,43;5,79597
212830;-2,62;5,01;-0,02;5,64929
212840;-2,40;5,92;-0,47;6,40066
212850;-2,25;6,83;-0,39;7,19867
212860;-2,33;7,28;-0,09;7,64585
212870;-2,26;7,21;0,21;7,55363
212880;-2,11;7,13;0,44;7,44736
212890;-1,88;7,21;0,44;7,46071
212900;-2,03;7,59;0,44;7,86504
212910;-2,26;7,51;0,89;7,89093
212920;-2,25;6,90;1,11;7,34493
212930;-2,33;6,07;1,03;6,57945
212940;-2,47;5,92;0,73;6,45373
212950;-2,62;6,45;0,44;6,97425
212960;-2,85;6,90;0,59;7,49032
212970;-2,92;6,90;0,97;7,55755
212980;-3,22;6,90;1,42;7,74765
212990;-4,04;7,21;1,73;8,44002
213000;-5,38;7,59;2,27;9,57195
213010;-6,12;6,68;3,32;9,64488
213020;-6,79;6,14;4,22;10,08105
213030;-7,76;6,68;3,55;10,83428
213040;-8,88;7,81;2,67;12,12493
213050;-9,18;8,19;2,60;12,57511
213060;-8,73;8,80;2,75;12,69955
213070;-8,15;10,47;2,76;13,5478
213080;-7,33;11,83;2,99;14,23708
213090;-6,59;12,74;3,29;14,71835
213100;-6,15;13,58;3,59;15,33058
213110;-6,00;13,35;3,96;15,16193
213120;-5,84;10,92;3,64;12,9107
213130;-5,76;8,65;2,58;10,70278
213140;-5,91;9,56;2,06;11,42383
213150;-5,77;11,23;2,37;12,84109
213160;-5,77;12,44;2,90;14,01753
213170;-6,00;12,74;3,21;14,44327
213180;-6,44;12,14;3,43;14,16186
213190;-6,66;11,23;3,50;13,51402
213200;-6,66;10,24;3,12;12,60508
213210;-6,65;9,41;2,36;11,76111
213220;-6,65;8,80;1,69;11,15784
213230;-6,65;8,19;1,31;10,63138
213240;-6,42;7,81;1,38;10,20818
213250;-5,90;7,59;1,75;9,76803
213260;-5,38;7,36;1,82;9,29323
213270;-4,86;7,05;1,81;8,75374
213280;-4,34;6,68;1,95;8,1953
213290;-4,11;6,37;1,72;7,77583
213300;-3,89;5,69;1,12;6,97934
213310;-3,59;4,93;0,88;6,15943
213320;-3,29;4,32;1,18;5,55562
213330;-3,06;4,40;1,40;5,53959
213340;-2,84;4,78;1,25;5,69786
213350;-2,40;5,31;1,10;5,92777
213360;-2,25;6,07;0,88;6,53141
213370;-2,40;6,83;0,89;7,29045
213380;-2,40;6,90;0,96;7,37107
213390;-2,18;6,83;0,96;7,22938
213400;-2,10;6,83;0,96;7,20699
213410;-2,33;7,05;1,11;7,51114
213420;-2,18;6,90;1,19;7,33416
213430;-2,25;6,83;1,11;7,27356
213440;-2,48;6,98;1,11;7,48778
213450;-2,70;7,05;1,04;7,62447
213460;-2,85;7,13;0,89;7,73026
213470;-3,97;7,96;1,06;8,96089
213480;-4,79;8,04;1,59;9,49182
213490;-4,93;6,75;2,26;8,65969
213500;-5,45;5,76;2,78;8,40465
213510;-6,56;5,54;2,64;8,98293
213520;-7,76;6,07;2,58;10,1795
213530;-8,21;6,60;2,66;10,85949
213540;-8,51;7,43;3,12;11,71771
213550;-9,48;8,72;4,71;13,71385
213560;-8,44;8,88;4,25;12,96125
213570;-8,07;10,85;3,36;13,93271
213580;-7,71;11,99;3,22;14,60628
213590;-7,19;12,74;3,44;15,02899
213600;-6,67;13,27;3,59;15,28209
213610;-6,29;12,52;3,66;14,47821
213620;-5,69;9,33;3,03;11,33845
213630;-5,68;8,50;2,35;10,48678
213640;-6,06;10,39;2,67;12,32249
213650;-5,99;11,76;3,27;13,5964
213660;-6,07;12,44;3,50;14,27853
213670;-6,29;12,14;3,43;14,09447
213680;-6,81;11,38;3,43;13,69621
213690;-7,18;10,24;3,42;12,96472
213700;-7,17;9,18;3,34;12,11816
213710;-6,95;8,50;3,26;11,44757
213720;-6,72;7,81;2,95;10,7214
213730;-6,65;7,36;2,35;10,18842
213740;-6,27;7,36;2,12;9,89843
213750;-5,46;7,28;2,26;9,37605
213760;-4,78;7,05;2,26;8,81701
213770;-4,34;6,90;2,25;8,45687
213780;-4,04;6,60;2,02;7,99655
213790;-3,81;6,07;1,72;7,36961
213800;-3,66;5,61;1,56;6,88201
213810;-3,66;5,31;1,34;6,58604
213820;-3,36;5,16;1,41;6,31642
213830;-3,29;5,39;1,33;6,44944
213840;-3,14;5,61;1,19;6,54033
213850;-3,07;5,84;1,11;6,68973
213860;-3,37;6,75;1,04;7,61683
213870;-3,37;7,05;1,20;7,90862
213880;-3,37;6,98;1,27;7,8527
213890;-3,44;6,83;1,20;7,73844
213900;-3,37;6,52;1,34;7,46302
213910;-3,22;6,07;1,34;6,9976
213920;-3,22;5,76;1,34;6,73433
213930;-3,37;5,84;1,26;6,8574
213940;-3,59;6,37;1,49;7,46418
213950;-3,07;6,60;1,79;7,49546
